English,target
expires  :    ,انقضاا :
show or hide unrequested popup windows from this site ,نشان دادن یا پنهان کردن پنجره هایواشوی ناخواسته از این وبگاه
place the six of diamonds next to the five of diamonds .   ,انتقال a بر روی پنج خشت .
accessible table row description ,شرح سطر جدول دسترسیپذیری
id ,id
remember password until you  log out ,گذرواژه در طول این نشست به خاطر سپرده شود
a new person joined your team ,یک کاربر جدید به گروه شما اضافه شد
 appearance ,نما
home ,خانه
you are about to clear personal data that is stored about the web pages you have visited .   before proceeding    check the types of information that you want to remove  :    ,شما دارید اطلاعات شخصی را پاک میکنید که دربارهی صفحه هایوبی است که بازدید کرده اید . قبل از ادامه ، نوع اطلاعاتی را که میخواهید پاک کنید را بررسی کنید :
 of  ,از
an unknown error occurred .   ,یک خطای ناشناس رخ داد .
 review crash details ,مرور جزییات فروپاشی
accessible table column header ,سرستون جدول دسترسیپذیری
update bookmark    ?   ,نشانک « » بروز شود ؟
create ,ایجاد
place the queen of hearts next to the jack of hearts .   ,انتقال a بر روی سرباز دل .
redo the undone move ,دوبارهی حرکت برگردان
place the four of clubs next to the three of clubs .   ,انتقال a بر روی سهخاج .
find pre vious ,قبلی
copy image address    ,رونوشت از نشانی تصویر « »
sendmail ,sendmail
five of hearts ,پنج دل
could not generate signing data  :    ,تولید داده های امضا ممکن نبود :
start a presentation ,اغاز کردن یک ارایه
you are banned from this channel ,ورود شما به این کانال توقیف شده است
gathering font information .   .   .   % 3d% %  ,در حال جمع اوری اطلاعات قلم٪3d
 room ,اتاق
zoom  out ,کوچکنمایی
the bookmarks from    could not be imported because the file is corrupted or of an unsupported type .   ,نمیتوان نشانک ها را از « » وارد کرد زیرا پرونده مخدوش است یا نوع ان پشتیبانی نشده است .
use own colors ,استفاده از رنگ های خودم
 first page ,صفحهی اول
error executing search expression  :      :     ,خطا در اجرای عبارت جستجو : :
whether to automatically restore the last session ,اینکه ایابهطور خودکار نشست قبلی بازنشانیشود یا خیر
 quit ,ترک
cyrillic  (   maccyrillic )   ,سیریلی ( maccyrillic )
 find ,جستجو :
copyright  :    ,حق نسخهبرداری :
s maller text ,متن ریزتر
devhelp ,devhelp
print this document ,چاپ این سند
hide main window ,مخفی کردن پنجرهی اصلی
double click any card to redeal .   ,برای معماملهی مجدد روی هر کارت دوبارکلیککنید .
remote user has stopped calling ,کاربر دوردست از تماس گرفتن دست کشید
could not register  ,ثبت نام نشود
" ""   ""   expects the first argument to be a time t ",« » انتظار دارد ارگومان اول یک time t باشد
place a new call ,تماس های انجام شده
send  video ,فرستادن ویدیو
 help ,راهنما
home address ,نشانی خانه
chinese  (  china )   ,چینی ( چین )
place the four of hearts next to the three of hearts .   ,انتقال a بر روی سه دل .
unknown ,ناشناس
autoplay ,بازی خودکار
show the selected bookmark on a toolbar ,نشان دادن نشانک انتخاب شده در نوار ابزار
first law ,قانون اول
zebra ,گورخر
brasero     (  video disc )   ,برازرو ( دیسک ویدیویی )
input method window ,پنجره روش ورودی
21st ,بیست و یکم
import bookmarks from another browser or a bookmarks file ,وارد کردن چوبالف ها از یک مرورگر دیگر یا از یکپروندهی چوبالف
 customize toolbars ,س فارشی کردن نوارهای ابزار
width of the main window ,پهنای پنجره اصلی
enable echo cancellation ,لغو خودکار echo
saturation ,غلظت
update software .   .   .   ,بروزرسانی نرمافزار
disable all historical information by disabling back and forward navigation    not allowing the history dialog and hiding the most used bookmarks list .   ,از کار انداختن همه اطلاعات مربوط به تاریخچه با از کار انداختن دکمه عقب و جلو ، مجاز ندانستن محاوره تاریخچه و مخفی کردن فهرست چوبالف هایی که بیش از همه مورد استفاده قرار گرفتهاند .
effects ,جلوه ها
whether the main window should start maximized .   ,اینکه ایا پنجره اصلی در هنگام اغاز به کار بیشینهباشد یا خیر .
gnome 3 .  14  (  development )   ,گنوم 3 . 6 ( درحالتوسعه )
use your own colors instead of the colors the page requests .   ,استفاده از رنگ های خودتان به جای رنگ هایی که صفحه درخواست میکند .
unit  :    ,واحد :
end of presentation .   click to exit .   ,پایان ارایه . برای خروج کلیک کنید .
move  a onto the ace of spades .   ,انتقال a بر روی اس پیک .
this document contains non -  embedded fonts that are not from the pdf standard 14 fonts .   if the substitute fonts selected by fontconfig are not the same as the fonts used to create the pdf    the rendering may not be correct .   ,این سند حاوی قلم هایغیرتوکاری است که شامل 14 قلم استاندار pdf نیست . اگر قلم های جایگزین انتخاب شدهبهوسیلهیfontconfig مشابه قلم های استفاده شده در ساخت pdf نباشند ، ممکن است نمایش ان صحیح نباشد .
settings  ;   configuration  ;    ,تنظیمات ؛ پیکربندی ؛
web page ,صفحه وب
mime type ,نوع mime
c lear ,پاک کردن
go to the first page ,رفتن به صفحه اول
run evince in presentation mode ,اجرای اوینس در حالت ارایه
menus ,منوها
smtp server  does not support  authentication ,کارگزار smtp تشخیص هویت درخواست شدهی نوع را پشتیبانی نمیکند .
scan time  (  each direction )      in ms ,زمان پوییدن ( هر جهت ) ، به میلی ثانیه
 edit bookmarks ,ویرایش نشانک ها
create  image ,ساخت تصویر
an empty foundation slot ,یک پایهی خالی
percentage by which to decrease speed upon reverse ,درصدی که بهاندازهیانسرعت در معکوس کمشود
gadu -  gadu work id 3 ,شناسهیکاری jabber 3
variant  :    ,گزینه :
 add group ,افزودنگروهverbinacolumnheaderdisplayinggroupnames
